penguin,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
p1,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
p2,Adelie,Torgersen,39.5,17.4,186,3800,female,2007
p3,Adelie,Torgersen,40.3,18,195,3250,female,2007
p4,Adelie,Torgersen,NA,NA,NA,NA,NA,2007
p5,Adelie,Torgersen,36.7,19.3,193,3450,female,2007
p6,Adelie,Torgersen,39.3,20.6,190,3650,male,2007
p7,Adelie,Torgersen,38.9,17.8,181,3625,female,2007
p8,Adelie,Torgersen,39.2,19.6,195,4675,male,2007
p9,Adelie,Torgersen,34.1,18.1,193,3475,NA,2007
p10,Adelie,Torgersen,42,20.2,190,4250,NA,2007
p11,Adelie,Torgersen,37.8,17.1,186,3300,NA,2007
p12,Adelie,Torgersen,37.8,17.3,180,3700,NA,2007
p13,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
p14,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
p15,Adelie,Torgersen,34.6,21.1,198,4400,male,2007
p16,Adelie,Torgersen,36.6,17.8,185,3700,female,2007
p17,Adelie,Torgersen,38.7,19,195,3450,female,2007
p18,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
p19,Adelie,Torgersen,34.4,18.4,184,3325,female,2007
p20,Adelie,Torgersen,46,21.5,194,4200,male,2007
p21,Adelie,Biscoe,37.8,18.3,174,3400,female,2007
p22,Adelie,Biscoe,37.7,18.7,180,3600,male,2007
p23,Adelie,Biscoe,35.9,19.2,189,3800,female,2007
p24,Adelie,Biscoe,38.2,18.1,185,3950,male,2007
p25,Adelie,Biscoe,38.8,17.2,180,3800,male,2007
p26,Adelie,Biscoe,35.3,18.9,187,3800,female,2007
p27,Adelie,Biscoe,40.6,18.6,183,3550,male,2007
p28,Adelie,Biscoe,40.5,17.9,187,3200,female,2007
p29,Adelie,Biscoe,37.9,18.6,172,3150,female,2007
p30,Adelie,Biscoe,40.5,18.9,180,3950,male,2007
